Sentences,Broken Sentences,OpinionTerm1,Predicted Opinion Term 1,Aspect Category1,AspectPolarity1 ,OpinionTerm2,Predicted Opinion Term 2,Aspect Category2,Aspectpolarity2
Poor app,['Poor app'],poor app,poor app,App_Utility,negative ,,,,
worst service in Bangalore,['worst service in Bangalore'],worst service,worst service,Company_Service,negative ,,,,
Good experience,['Good experience'],good experience,good experience,Company_Service,positive,,,,
Good and professional workers...,['Good and professional workers'],professional workers,professional workers,service_person_attitude,positive,,,,
Very poor service.,['Very poor service'],poor service,poor service,Company_Service,negative ,,,,
Good services,['Good services'],good services,good services,Company_Service,positive,,,,
best company for everything,['best company for everything'],best company,best company,Company_Service,positive,,,,
Very Bad Service,['Very Bad Service'],bad service,bad service,Company_Service,negative ,,,,
Bad service,['Bad service'],bad service,bad service,Company_Service,positive,,,,
Excellent service,['Excellent service'],excellent service,excellent service,Company_Service,positive,,,,
Excellent application,['Excellent application'],excellent application,excellent application,App_Utility,positive,,,,
Very good service,['Very good service'],good service,good service,Company_Service,positive,,,,
Very satisfactory service,['Very satisfactory service'],satisfactory service,satisfactory service,Company_Service,positive,,,,
Good services,['Good services'],good services,good services,service_quality,positive,,,,
Good Service,['Good Service'],good service,good service,Company_Service,positive,,,,
Excellent service,['Excellent service'],excellent service,excellent service,Company_Service,positive,,,,
Thief company,['Thief company'],thief company,thief company,Company_Service,negative ,,,,
Good app,['Good app'],good app,good app,App_Utility,positive,,,,
Good service,['Good service'],good service,good service,Company_Service,negative ,,,,
Hidden charges,['Hidden charges'],hidden charges,hidden charges,Payment,negative ,,,,
They cancelled appointment without even informing me.,"['They cancelled appointment', 'without even informing me']",cancelled appointment,cancelled appointment,Company_Service,positive,,,,
powerful app,['powerful app'],powerful app,powerful app,App_Utility,positive,,,,
Excellent service,['Excellent service'],excellent service,excellent service,Company_Service,positive,,,,
Excellent app,['Excellent app'],excellent app,excellent app,App_Utility,positive,,,,
Good service by UC.,['Good service by UC'],good service,good service,Company_Service,positive,,,,
Nice service,['Nice service'],nice service,nice service,Company_Service,positive,,,,
Fraud company,['Fraud company'],fraud company,fraud company,Company_Service,negative ,,,,
Really good work,['Really good work'],good work,good work,service_quality,negative ,,,,
Worst service.,['Worst service'],worst service,worst service,Company_Service,positive,,,,
Very useful service,['Very useful service'],useful service,useful service,Company_Service,positive,,,,
Great app,['Great app'],great app,great app,App_Utility,positive,,,,
Worst app,['Worst app'],worst app,worst app,App_Utility,positive,,,,
Nice experience,['Nice experience'],nice experience,nice experience,Company_Service,positive,,,,
Excellent service,['Excellent service'],excellent service,excellent service,Company_Service,positive,,,,
awesome service,['awesome service'],awesome service,awesome service,Company_Service,negative ,,,,
Very very bad worst service,"['Very very bad worst service', '']",worst service,worst service,Company_Service,positive,,,,
Very Good Experience.,['Very Good Experience'],good experience,good experience,Company_Service,positive,,,,
"Good app , professional services offered","['Good app ', ' professional services offered']",good app,good app,App_Utility,negative ,professional services,professional services,Company_Service,Positive
Fraud company,['Fraud company'],fraud company,fraud company,Company_Service,positive,,,,
Great Experience,['Great Experience'],great experience,great experience,Company_Service,positive,,,,
Superb services,['Superb services'],superb services,superb services,Company_Service,positive,,,,
useless company,['useless company'],useless company,useless company,Company_Service,positive,,,,
dumb app,['dumb app'],dumb app,dumb app,App_Utility,negative ,,,,
Nice service 450/500,['Nice service 450/500'],nice service,nice service,Company_Service,positive,,,,
Excellent app,['Excellent app'],excellent app,excellent app,App_Utility,positive,,,,
amazingâ€¦ great app,['amazingâ€¦ great app'],great app,great app,App_Utility,positive,,,,
Good service,['Good service'],good service,good service,Company_Service,positive,,,,
"Well trained and qualified professionals, excellent service","['Well trained and qualified professionals', ' excellent service']",qualified professionals,qualified professionals,service_person_attitude,positive,excellent service,excellent service,Company_Service,Positive
Worst Service,['Worst Service'],worst service,worst service,Company_Service,negative ,,,,
Nice app,['Nice app'],nice app,nice app,App_Utility,positive,,,,
Bad service,['Bad service'],bad service,bad service,Company_Service,positive,,,,
Super app,['Super app'],super app,super app,App_Utility,positive,,,,
bestest service,['bestest service'],bestest service,bestest service,Company_Service,positive,,,,
Good Service...,['Good Service'],good service,good service,Company_Service,positive,,,,
Pathetic service,['Pathetic service'],pathetic service,pathetic service,Company_Service,negative ,,,,
Nice service,['Nice service'],nice service,nice service,Company_Service,positive,,,,
Third class ac service,['Third class ac service'],third class,third class,service_quality,negative ,,,,
excellent app,['excellent app'],excellent app,excellent app,App_Utility,positive,,,,
Great service,['Great service'],great service,great service,Company_Service,positive,,,,
Beautiful experience...,['Beautiful experience'],beautiful experience,beautiful experience,Company_Service,positive,,,,
Superb Services,['Superb Services'],superb services,superb services,Company_Service,positive,,,,
Excellent services,['Excellent services'],excellent services,excellent services,Company_Service,positive,,,,
Good app,['Good app'],good app,good app,App_Utility,positive,,,,
Good services,['Good services'],good services,good services,Company_Service,positive,,,,
zero services,['zero services'],zero services,zero services,Company_Service,negative ,,,,
Nice app,['Nice app'],nice app,nice app,App_Utility,positive,,,,
Great job,['Great job'],great job,great job,service_quality,positive,,,,
Excellent service,['Excellent service'],excellent service,excellent service,service_quality,positive,,,,
Nice work,['Nice work'],nice work,nice work,service_quality,positive,,,,
superb service,['superb service'],superb service,superb service,Company_Service,positive,,,,
Fake app,['Fake app'],fake app,fake app,App_Utility,negative ,,,,
Convenient and trained staff.,['Convenient and trained staff'],trained staff,trained staff,service_person_attitude,positive,,,,
